target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,zero_shot_reconstruction_loss,zero_shot_decoder_r2,zero_shot_gcn_gru_reconstruction_loss,zero_shot_gcn_gru_decoder_r2,zero_shot_bilstm_reconstruction_loss,zero_shot_bilstm_decoder_r2,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,calibrated_reconstruction_loss,calibrated_decoder_r2,calibrated_gcn_gru_reconstruction_loss,calibrated_gcn_gru_decoder_r2,calibrated_bilstm_reconstruction_loss,calibrated_bilstm_decoder_r2,delta_precision,delta_f1,delta_joint_loss,delta_loss,delta_recall,delta_roc_auc,delta_decoder_r2,delta_macro_f1,delta_reconstruction_loss,delta_gcn_gru_reconstruction_loss,delta_brier_score,delta_accuracy,delta_macro_recall,delta_macro_precision,delta_ece,delta_bilstm_decoder_r2,delta_bilstm_reconstruction_loss,delta_gcn_gru_decoder_r2,delta_balanced_accuracy
0,9,2,"[0, 1, 3, 4, 5, 9, 10, 11, 16]","[2, 6, 7, 8, 12, 13, 14, 15, 17]",9,9,10,0.6902375146380506,0.7777777777777778,0.8571428571428571,0.75,1.0,0.6785714285714286,0.875,0.6666666666666666,0.6666666666666666,0.6111111111111112,0.24854520256687826,0.27468483977847635,1.0626304149627686,0.6311279535293579,0.2775266170501709,0.7897471189498901,0.2102528214454651,0.6551995277404785,0.3448004126548767,0.6892021719775394,0.6666666666666666,0.8,0.6666666666666666,1.0,0.4,0.3333333333333333,0.5,0.5,0.6666666666666667,0.24802758727633367,0.16223643885718453,1.0373612642288208,0.6311279535293579,0.2775266170501709,0.7897471189498901,0.2102528214454651,0.6551995277404785,0.3448004126548767,-0.08333333333333337,-0.05714285714285705,-0.025269150733947754,-0.001035342660511196,0.0,0.05555555555555558,0.0,-0.2785714285714286,0.0,0.0,-0.0005176152905445874,-0.11111111111111116,-0.16666666666666663,-0.5416666666666667,-0.11244840092129182,0.0,0.0,0.0,-0.16666666666666663
0,12,1,"[0, 1, 2, 5, 6, 7, 8, 11, 12, 13, 15, 17]","[3, 4, 9, 10, 14, 16]",12,6,10,0.68937909989137,0.8333333333333334,0.8888888888888888,0.8,1.0,0.7777777777777777,0.9,0.75,0.75,0.75,0.24811600530233,0.3304666678110759,1.0942366123199463,0.6527673602104187,0.25514161586761475,0.8035152554512024,0.19648468494415283,0.6862013339996338,0.31379860639572144,0.6885153003750718,0.6666666666666666,0.8,0.6666666666666666,1.0,0.4,0.3333333333333333,0.5,0.5,0.75,0.2476841642227535,0.16227445006370544,1.0521467924118042,0.6527673602104187,0.25514161586761475,0.8035152554512024,0.19648468494415283,0.6862013339996338,0.31379860639572144,-0.13333333333333341,-0.0888888888888888,-0.04208981990814209,-0.0008637995162982248,0.0,0.0,0.0,-0.37777777777777766,0.0,0.0,-0.0004318410795765004,-0.16666666666666674,-0.25,-0.5666666666666667,-0.16819221774737048,0.0,0.0,0.0,-0.25
0,12,2,"[1, 2, 3, 6, 7, 8, 9, 10, 11, 13, 15, 16]","[0, 4, 5, 12, 14, 17]",12,6,10,0.6904553701241695,0.8333333333333334,0.8888888888888888,0.8,1.0,0.7777777777777777,0.9,0.75,0.75,0.625,0.24865410892071024,0.33075578014055895,1.1204789876937866,0.6258533596992493,0.281322717666626,0.7917602062225342,0.20823979377746582,0.6455943584442139,0.35440564155578613,0.6898178138393297,0.6666666666666666,0.8,0.6666666666666666,1.0,0.4,0.3333333333333333,0.5,0.5,0.5,0.24833535940912022,0.16318522890408826,1.0810120105743408,0.6258533596992493,0.281322717666626,0.7917602062225342,0.20823979377746582,0.6455943584442139,0.35440564155578613,-0.13333333333333341,-0.0888888888888888,-0.0394669771194458,-0.0006375562848397465,0.0,-0.125,0.0,-0.37777777777777766,0.0,0.0,-0.0003187495115900274,-0.16666666666666674,-0.25,-0.5666666666666667,-0.1675705512364707,0.0,0.0,0.0,-0.25
0,12,3,"[0, 3, 4, 5, 6, 8, 9, 12, 13, 14, 15, 17]","[1, 2, 7, 10, 11, 16]",12,6,10,0.6902805808410841,0.6666666666666666,0.8,0.6666666666666666,1.0,0.4,0.3333333333333333,0.5,0.5,0.625,0.248566739551442,0.16289670268694556,1.1752327680587769,0.6339651346206665,0.27116793394088745,0.8116861581802368,0.1883137822151184,0.6459777355194092,0.35402214527130127,0.6898743082797553,0.6666666666666666,0.8,0.6666666666666666,1.0,0.4,0.3333333333333333,0.5,0.5,0.5,0.24836362607979723,0.1616710821787516,1.138426423072815,0.6339651346206665,0.27116793394088745,0.8116861581802368,0.1883137822151184,0.6459777355194092,0.35402214527130127,0.0,0.0,-0.036806344985961914,-0.0004062725613288576,0.0,-0.125,0.0,0.0,0.0,0.0,-0.00020311347164478355,0.0,0.0,0.0,-0.0012256205081939697,0.0,0.0,0.0,0.0
1,3,1,"[7, 8, 10]","[0, 1, 2, 3, 4, 5, 6, 9, 11, 12, 13, 14, 15, 16, 17]",3,15,10,0.6956424073713156,0.3333333333333333,0.2857142857142857,0.25,0.3333333333333333,0.33035714285714285,0.3392857142857143,0.3333333333333333,0.3333333333333333,0.2962962962962963,0.25124756332544934,0.1696634372075399,1.0751776695251465,0.8060394525527954,0.14380133152008057,0.9026776552200317,0.09732246398925781,0.8097198605537415,0.1902802586555481,0.6954857643524678,0.3333333333333333,0.2857142857142857,0.25,0.3333333333333333,0.33035714285714285,0.3392857142857143,0.3333333333333333,0.3333333333333333,0.3148148148148149,0.25116923879495184,0.16957291762034105,0.5909226536750793,0.8060394525527954,0.14380133152008057,0.9026776552200317,0.09732246398925781,0.8097198605537415,0.1902802586555481,0.0,0.0,-0.48425501585006714,-0.00015664301884776854,0.0,0.0185185185185186,0.0,0.0,0.0,0.0,-7.832453049749777e-05,0.0,0.0,0.0,-9.051958719885622e-05,0.0,0.0,0.0,0.0
1,3,2,"[2, 3, 5]","[0, 1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",3,15,10,0.6961179432395439,0.3333333333333333,0.375,0.3,0.5,0.33035714285714285,0.35,0.3611111111111111,0.3611111111111111,0.24074074074074076,0.25148532847822663,0.1695272326469422,0.5917293429374695,0.8026870489120483,0.14704471826553345,0.9033868908882141,0.09661310911178589,0.802523672580719,0.197476327419281,0.6962242508656465,0.3333333333333333,0.375,0.3,0.5,0.33035714285714285,0.35,0.3611111111111111,0.3611111111111111,0.24074074074074076,0.25153847465059886,0.16952184438705448,0.591419517993927,0.8026870489120483,0.14704471826553345,0.9033868908882141,0.09661310911178589,0.802523672580719,0.197476327419281,0.0,0.0,-0.00030982494354248047,0.00010630762610264188,0.0,0.0,0.0,0.0,0.0,0.0,5.3146172372231515e-05,0.0,0.0,0.0,-5.388259887717517e-06,0.0,0.0,0.0,0.0
1,3,3,"[1, 11, 12]","[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17]",3,15,10,0.6953229888961054,0.4,0.3076923076923077,0.25,0.4,0.3891402714932127,0.4107142857142857,0.4,0.4,0.26,0.2510878732574736,0.10295478900273636,0.5827691555023193,0.8078710436820984,0.14186251163482666,0.9032912850379944,0.09670871496200562,0.8129838109016418,0.18701618909835815,0.6951924552204541,0.4,0.3076923076923077,0.25,0.4,0.3891402714932127,0.4107142857142857,0.4,0.4,0.27999999999999997,0.25102260855795405,0.10289504528045657,0.5820956826210022,0.8078710436820984,0.14186251163482666,0.9032912850379944,0.09670871496200562,0.8129838109016418,0.18701618909835815,0.0,0.0,-0.0006734728813171387,-0.00013053367565130092,0.0,0.019999999999999962,0.0,0.0,0.0,0.0,-6.526469951956271e-05,0.0,0.0,0.0,-5.974372227979252e-05,0.0,0.0,0.0,0.0
1,3,4,"[9, 15, 17]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 16]",3,15,10,0.695210989680201,0.4666666666666667,0.42857142857142855,0.375,0.5,0.4642857142857143,0.4732142857142857,0.4722222222222222,0.4722222222222222,0.3518518518518518,0.251031852187075,0.03637361129124961,0.584749698638916,0.8148430585861206,0.13525575399398804,0.9071879386901855,0.09281206130981445,0.8223006129264832,0.17769938707351685,0.695188812074795,0.4,0.3076923076923077,0.2857142857142857,0.3333333333333333,0.3891402714932127,0.39285714285714285,0.38888888888888884,0.38888888888888884,0.3518518518518518,0.2510207631619063,0.1029940605163574,0.5855333805084229,0.8148430585861206,0.13525575399398804,0.9071879386901855,0.09281206130981445,0.8223006129264832,0.17769938707351685,-0.0892857142857143,-0.12087912087912084,0.0007836818695068359,-2.217760540601521e-05,-0.16666666666666669,0.0,0.0,-0.07514544279250163,0.0,0.0,-1.1089025168720124e-05,-0.06666666666666665,-0.08333333333333337,-0.08035714285714285,0.06662044922510779,0.0,0.0,0.0,-0.08333333333333337
1,3,5,"[6, 14, 16]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 17]",3,15,10,0.695339738349279,0.4,0.3076923076923077,0.2857142857142857,0.3333333333333333,0.3891402714932127,0.39285714285714285,0.38888888888888884,0.38888888888888884,0.31481481481481477,0.25109623280797755,0.1028218348821004,0.5893183946609497,0.8121740221977234,0.13831770420074463,0.9060930013656616,0.09390699863433838,0.8172715902328491,0.18272840976715088,0.6951526010793523,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3055555555555555,0.3055555555555555,0.3055555555555555,0.3055555555555555,0.33333333333333337,0.2510026743896934,0.1694866895675659,0.5860485434532166,0.8121740221977234,0.13831770420074463,0.9060930013656616,0.09390699863433838,0.8172715902328491,0.18272840976715088,-0.11904761904761904,-0.14102564102564105,-0.0032698512077331543,-0.000187137269926696,-0.16666666666666666,0.0185185185185186,0.0,-0.08358471593765715,0.0,0.0,-9.355841828412315e-05,-0.06666666666666671,-0.08333333333333331,-0.08730158730158732,0.06666485468546551,0.0,0.0,0.0,-0.08333333333333331
1,3,6,"[0, 4, 13]","[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]",3,15,10,0.6958442020078407,0.4,0.4,0.3333333333333333,0.5,0.4,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.2777777777777778,0.2513484657298145,0.10265922943751016,0.5986284613609314,0.7900226712226868,0.15760362148284912,0.8960596323013306,0.10394036769866943,0.7887330651283264,0.21126693487167358,0.6958851825136507,0.3333333333333333,0.2857142857142857,0.25,0.3333333333333333,0.33035714285714285,0.3392857142857143,0.3333333333333333,0.3333333333333333,0.2777777777777778,0.25136895010556604,0.16926356156667072,0.6012348532676697,0.7900226712226868,0.15760362148284912,0.8960596323013306,0.10394036769866943,0.7887330651283264,0.21126693487167358,-0.08333333333333331,-0.11428571428571432,0.0026063919067382812,4.098050581002877e-05,-0.16666666666666669,0.0,0.0,-0.06964285714285717,0.0,0.0,2.0484375751528283e-05,-0.06666666666666671,-0.08333333333333331,-0.07738095238095233,0.06660433212916056,0.0,0.0,0.0,-0.08333333333333331
